title,rating,acidity_structure,aftertaste,aroma,body,flavor,with_milk,agtron,blind_assessment,bottom_line,coffee_origin,est_price,notes,review_date,roast_level,roaster,roaster_location,url
Ethiopia Yirgacheffe Koke Coop Fair Trade Organic,92,,9,8,8,9,,59/79,"Sweet and delicately complex in aroma and cup: clover, moist pipe tobacco, nut, molasses, plum. Crisp, buoyantly lively acidity; lightly syrupy mouthfeel. Long, deep, flavor-saturated finish. ",,"Yirgacheffe growing region, southern Ethiopia.",$13.95/12 ounces,"This coffee is certified organically grown and Fair Trade, meaning it was purchased from small-holding farmers at a ""fair"" or economically sustainable price. Yirgacheffe is a coffee region in southern Ethiopia that produces distinctively floral- and fruit-toned coffees from traditional varieties of Arabica long grown in the region. Yirgacheffe coffees like this one processed by the wet or washed method (fruit skin and pulp is removed before drying) typically express great aromatic complexity and intensity with a particular emphasis on citrus and floral notes. JBC Coffee Roasters (formerly Johnson Brothers Coffee Roasters) is a distinguished small-batch roasting company. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information..",July 2011,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin",https://www.coffeereview.com/review/ethiopia-yirgacheffe-koke-coop-fair-trade-organic/
Kenya Gichatha-Ini,92,,8,8,8,9,,58/79,"Balanced, softly complex aromatics in aroma and cup: nut, cocoa, orangy citrus, black currant, hints of baker’s chocolate, flowers. The richly tart acidity is softened by a floral suggestion; lightly syrupy mouthfeel. Deep, resonant finish with some flavor persisting. ",,"Central Province, Kenya.",$22.95/12 ounces,"Produced mainly from trees of the admired, Bourbon-derived SL 28 and SL 34 varieties. Grown by the Gikanda Co-op and processed at the distinguished, award-winning Gichatha-Ini Factory. Fair Trade certified, meaning it was purchased from small-holding farmers at a ""fair"" or economically sustainable price. Roasted at PT’s Coffee, where the motto is “without the love, it’s just coffee.” Visit www.ptscoffee.com or call 888-678-5282 for more information.",July 2011,Medium-Light,PT's Coffee Roasting Co.,"Topeka, Kansas",https://www.coffeereview.com/review/kenya-gichatha-ini/
Kenya Gichatha-Ini,93,,,,,,,56/74,"Richly tart, crisp in aroma and cup: grapefruit, black currant, roasted nut, baker’s chocolate, fresh-cut fir. Delicate, cleanly bright acidity; very smooth, silky mouthfeel. Complex fruit centered on grapefruity citrus lingers in a long finish.",,"Central Province, Kenya.",$22.95/12 ounces,"Produced mainly from trees of the admired, Bourbon-derived SL 28 and SL 34 varieties. Grown by the Gikanda Co-op and processed at the distinguished, award-winning Gichatha-Ini Factory. Fair Trade certified, meaning it was purchased from small-holding farmers at a ""fair"" or economically sustainable price. Formerly Coffee Klatch, Klatch Coffee is an award-winning small-batch roasting company based in the Los Angeles area whose resident barista and trainer, Heather Perry, is a former United States Barista Champion.  Visit www.klatchroasting.com or call 877-455-2824 for more information.",July 2011,Medium-Light,Klatch Coffee,"Upland, California",https://www.coffeereview.com/review/kenya-gichatha-ini-3/
Costa Rica Finca Las Palomas,90,,8,8,8,8,,48/64,"Crisp, balanced. Hints of raisiny dark chocolate and fresh-cut fir round and deepen a dominant lemony citrus. Silky mouthfeel. The lemon softens in a long, gently dry finish.",,"Asseri, Tarrazu, Costa Rica",$12.90/12 ounces,"Grown on Finca Las Palomas in Costa Rica’s famous Tarrazu growing region. Bard Coffee is a coffeehouse and roasting company based in Portland, Maine, focused on distinctive single-origin coffees. Bard Coffee is co-owned by Bob Garver, founder of Wicked Joe coffee and a frequent judge at barista competitions in the United States and internationally.  Visit www.bardcoffee.com or call 207-899-4788 for more information.",July 2011,Medium,Bard Coffee,"Portland, Maine",https://www.coffeereview.com/review/costa-rica-finca-las-palomas/
Costa Rica Finca Las Gravileas Fair Trade Organic,92,,9,9,8,8,,55/70,"Deep-toned, quietly complex. Sweet flowers, caramel, apple in aroma and cup. Rich, round, but authoritative acidity; lightly syrupy mouthfeel. Impressively long, resonant, sweet finish. ",,"Tarrazu growing region, central Costa Rica.",$12.85/12 ounces,"This coffee is certified organically grown and Fair Trade, meaning it was purchased from small-holding farmers at a ""fair"" or economically sustainable price. It was grown on Finca Las Gravileas in Costa Rica’s famous Tarrazú growing region. Wicked Joe is a micro-roaster based in Maine with a mission of providing its customers with ""epic coffee ... that is kind to both the earth and to the farmers."" Visit www.wickedjoe.com or call 888-894-2533 for more information.",July 2011,Medium-Light,Wicked Joe,"Brunswick, Maine",https://www.coffeereview.com/review/costa-rica-finca-las-gravileas-fair-trade-organic/
Costa Rica Micro Lot “Pepe” Honey Processed,95,,8,9,9,10,,53/69,"Beautifully structured coffee: rich, tart, wine-toned acidity and syrupy mouthfeel. Ripe lemon, table grape and vanilla-toned nut are expressed with great depth and resonance in aroma and cup. Balanced finish.",,"Naranjo, Costa Rica.",$14.90/12 ounces,"This lot was produced from trees of the respected Yellow Catuai variety of Arabica and grown in the Naranjo region in Costa Rica’s central valley. It is Rainforest Alliance certified, meaning it was produced following sustainable ecological and socio-economic criteria developed by the Sustainable Agricultural Network, a coalition of independent, environment-focused non-governmental organizations. “Honey process” describes coffee prepared by the pulped natural method, meaning the skin is removed from the coffee fruit immediately after picking, but the seeds or beans are dried with the sweet pulp, or fruit flesh, still adhering to them. This contrasts to the more conventional wet or washed method, wherein both skin and pulp are removed from the beans before drying. Bard Coffee is a coffeehouse and roasting company based in Portland, Maine, focused on distinctive single-origin coffees. Bard Coffee is co-owned by Bob Garver, founder of Wicked Joe coffee and a frequent judge at barista competitions in the United States and internationally. Visit www.bardcoffee.com or call 207-899-4788 for more information.",July 2011,Medium-Light,Bard Coffee,"Portland, Maine",https://www.coffeereview.com/review/costa-rica-micro-lot-pepe-honey-processed/
Kenya Kagumo PB Special Reserve Micro Lot,90,,8,8,8,8,,47/69,Tartly lemony with a rounding cherryish sweetness and hints of nut-toned cocoa in aroma and cup. Bright acidity; lightly syrupy mouthfeel. The lemon and cocoa notes carry into a crisp finish.,,"Nyeri region, central Kenya.",$20.00/12 ounces,"Produced mainly from trees of the admired, Bourbon-derived SL 28 and SL 34 varieties, with some addition of the Ruiru 11 hybrid. Consists entirely of peaberries, a kind of bean that results when the coffee fruit develops only a single, oval bean rather than the usual pair of flat-sided beans. Peaberries produce a somewhat different (often better) cup than normal beans from the same crop, from which they may or may not be separated during grading. This coffee was grown by the 1,200-member Aguthis Farmers Coop Society and processed at the Kagumo wet mill. Old Soul Company is a café, roastery and bakery based in Sacramento, California, founded in 2006 by friends Jason Griest and Tim Jordan. Visit www.oldsoulco.com or call 916-443-7685 for more information.",July 2011,Medium,Old Soul Co.,"Sacramento, California",https://www.coffeereview.com/review/kenya-kagumo-pb-special-reserve-micro-lot/
Nicaragua SHG,94,,9,8,9,9,,50/61,"Full, deep, syrupy. Aromatic wood, dark chocolate, almond, orange in aroma and cup. Rich, roundly expressed acidity, big body. Long, sweet, slightly drying finish saturated with dark chocolate and orange. ",,"Matagalpa and Jinotega growing regions, Nicaragua",$16.00/16 ounces,"The acronym SHG (Strictly High Grown) is a grade designation for the highest grade of Nicaragua coffee. This classic Nicaragua combines coffees from the admired Matagalpa and Jinotega growing regions blended by the exporter in green, unroasted form. Stauf’s is a micro-roaster in Columbus, Ohio founded in 1988 and serving wholesale and retail customers throughout the country.  Visit www.staufs.com for more information.",August 2011,Medium,Stauf's Coffee Roasters,"Columbus, Ohio",https://www.coffeereview.com/review/nicaragua-shg/
Nicaragua Wiwili Organic Micro Lot,93,,9,8,8,9,,54/76,"Fine structure and balance throughout. The quietly complex aromatics – orange, nut, fresh-cut fir, lavender-like flowers, caramel – are pleasing and persistent, but the excellence of this coffee resides above all in its fine structure – sweet-toned acidity, silky mouthfeel, long, perfectly clean, flavor-saturated finish. ",,"Jinotega, Nicaragua",$10.99/12 ounces,"Cooperative La Providencia is located in Jinotega, in the northern part of Nicaragua near Rio Coco and at the foot of the Kilambé Massif Mountains. It combines farmers from Wiwili and Kilambé but it brands its certified organic coffee as Wiwili, the name of Nicaragua’s first coffee cooperative founded in the 1920’s. True Beans is an artisan small-batch roaster located in the southern California city of Long Beach that emphasizes social responsibility and sells only organic and sustainable coffees. Visit www.truebeans.com or call 562-216-1620 for more information.",August 2011,Medium-Light,True Beans Coffee Roasters,"Long Beach, California",https://www.coffeereview.com/review/nicaragua-wiwili-organic-micro-lot/
Mierisch Farms Pacamara Natural Process,93,,7,10,8,9,,46/57,"Big, intense dried-in-the-fruit profile. Berries, brandy, port wine, dark chocolate, cedar, cocoaish chocolate. Gently bright acidity; lively, lightly syrupy mouthfeel. The aromatics simplify and the mouthfeel tightens very slightly in the finish, but overall an exciting, flamboyant coffee with very little downside to the sweet, fruit-enhancing ferment.  ",,"Jinotega, Nicaragua",$17.25/16 ounces,"This lot is comprised entirely of the Pacamara variety, a cross between the giant-beaned Maragogipe variety and Pacas, a selection of the heirloom Bourbon. ""Natural"" process means the beans were dried inside the fruit rather than after removal of the fruit. Based in Morrisville, North Carolina, Muddy Dog Roasting is a small batch roaster focused on environmentally and socially responsible coffees and eco-friendly roasting.  Visit www.muddydogcoffee.com or call 919-371-2818 for more information.",August 2011,Medium,Muddy Dog Roasting,"Morrisville, North Carolina",https://www.coffeereview.com/review/mierisch-farms-pacamara-natural-process/
Nicaragua 5 de Junio Maragojipe,91,,8,9,8,8,,64/80,"Deep-toned, rose-like floral notes dominate aroma, cup and finish, with fresh-cut fir, nectarine-like fruit and ripe lemon complications. Intense, sweetly tart acidity; silky mouthfeel; long, rich finish.  ",,"Las Sabanas, Nicaragua",$12.75/12 ounces,"Maragogipe (Maragojipe in Spanish; also spelled Maragogype) is a variety of Arabica first discovered growing near the Brazilian town of the same name. It is a seldom-grown variety that produces enormous beans. Paradoxically, these enormous beans tend to produce a cup rather delicate in sensory profile. Located in the mountainous far north of Nicaragua, the Cinco de Junio Cooperative's membership is exceptionally strong and diverse, with farms of various sizes joining to produce exceptional coffees. Counter Culture is a wholesale specialty roaster with an informative and lively website, a commitment to fine coffee and youthful, enthusiastic leadership. Visit www.counterculturecoffee.com or call 888-238-5282 for more information.",August 2011,Light,Counter Culture Coffee,"Durham, North Carolina",https://www.coffeereview.com/review/nicaragua-5-de-junio-maragojipe/
Nicaragua Santa Teresa,90,,7,8,9,8,,58/77,"A deep, rich, intense acidity dominates the profile. Complex lemon-and-orange citrus, fresh-cut fir, ripe tomato in aroma and cup. Impressively rich, syrupy mouthfeel. Clean, dry finish. ",,"Nueva Segovia growing region, Nicaragua.",$16.00/12 ounces,"This offering from Santa Teresa, Luis Joaquin Lovo's farm, consists of Caturra and Yellow Catuai varieties of Arabica. An integral part of New York’s coffee renaissance, Brooklyn based Café Grumpy opened its first café in 2005 and has since expanded to four locations, including their own roasting facility. Visit www.cafegrumpy.com or call 718-349-7623 for more information.",August 2011,Medium-Light,Cafe Grumpy,"Brooklyn, New York",https://www.coffeereview.com/review/nicaragua-santa-teresa/
Nicaragua Finca El Limoncillo Red Pacamara,90,,7,9,8,8,,57/71,"Deep-toned, savory sweet. Nougat-like almond, port wine, leather, cedar in aroma and cup. Tartly rich acidity, smooth mouthfeel, balanced though simple finish.",,"Matagalpa, Nicaragua",CAD $15.90/12 ounces,"From trees of the much-admired Pacamara variety, a cross between the giant-beaned Maragogipe variety and Pacas, a dwarf selection of the heirloom Bourbon variety.  This coffee is Rainforest Alliance certified, meaning it was produced following sustainable ecological and socio-economic criteria developed by the Sustainable Agricultural Network, a coalition of independent, environment-focused non-governmental organizations. Calgary-based Fratello is a second-generation boutique coffee roaster owned by three brothers who focus on responsible trade relationships with coffee growers.  Visit www.fratellocoffee.com or call 800-944-2545 for more information.",August 2011,Medium-Light,Fratello Coffee Roasters,"Calgary, Alberta, Canada",https://www.coffeereview.com/review/nicaragua-finca-el-limoncillo-red-pacamara/
Nicaragua Flor de Jinotega FTO,89,,8,8,8,8,,49/55,"Sweet-toned, round, deep. Roasted nut, grapy fruit, dark chocolate, a brightening hint of lemon. Soft, muted acidity; syrupy mouthfeel; smooth finish.",,"Jinotega, Nicaragua",$13.00/12 ounces,"This coffee is certified organically grown and Fair Trade, meaning it was purchased from small-holding farmers at a ""fair"" or economically sustainable price. Flor de Jinotega is grown in the mountains above the regional capital Jinotega by the farmers of SOPPEXCCA Coop under the protective shade of bananas, mangos, and mahogany, and adjoining dense forests providing home to rare orchids and winter habitat for migratory songbirds. One of the country's pioneering socially and environmentally progressive roasters, Thanksgiving aimed to combine coffee quality with social and environmental responsibility many years before the latter preoccupations became fashionable. Visit www.thanksgivingcoffee.com or call 800-648-6491 for more information.",August 2011,Medium,Thanksgiving Coffee,"Fort Bragg, California",https://www.coffeereview.com/review/nicaragua-flor-de-jinotega-fto/
Nicaragua Cafe Alden,89,,7,8,8,8,,42/50,"A darkish roast develops roasted nut, cedar and buttery chocolate notes in aroma and cup. Quiet, roast-rounded acidity; syrupy mouthfeel. Chocolate carries into a sweet, slightly drying finish.",,Nicaragua.,NA,Fidalgo Bay is a wholesale and online retail specialty coffee roaster with a thoughtfully designed menu of coffees and a concise but effective personal roast profiling tool on its website.  Visit www.fidalgobaycoffee.com or call 800-310-5540 for more information.,August 2011,Medium-Dark,Fidalgo Bay Coffee,"Burlington, Washington",https://www.coffeereview.com/review/nicaragua-cafe-alden/
Ethiopia Amaro Dernaye,91,,8,8,8,8,,55/67,"Unusual profile; gentle, round, with a soft, almost creamy mouthfeel and quiet, complex aromatics: orangy citrus, cocoa, flowers, pine, rosemary. Sweet, with a slight salty/savory edge particularly prominent in the long finish.",,"Amaro region, southern Ethiopia.",$17.00/12 ounces,"Ethiopian coffees like this one processed by the wet or washed method (fruit skin and pulp is removed before drying) typically express floral and citrus notes with particular intensity. This unusual variant on the type comes from the small-beaned, native Ethiopia variety Bolo, and is brought into the U.S. by boutique exporter/importer Ninety Plus Coffee. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world.  Visit www.templecoffee.com or call 916-454-1282 for more information.",August 2011,Medium-Light,Temple Coffee and Tea,"Sacramento, California",https://www.coffeereview.com/review/ethiopia-amaro-dernaye/
Costa Rica Santa Elena Espresso,93,,8,9,9,9,,48/71,"Evaluated as espresso. Crisp, bright, complex. Vanilla, butter, caramelly milk chocolate, citrus, stone fruit all carry from aroma to small cup. Medium body, lightly syrupy mouthfeel. Sweet, rich finish with fine flavor saturation. In two parts milk delicate but continued complex, with the vanilla and caramelly milk chocolate notes particularly prominent.",,"Tarrazu growing region, central Costa Rica.",$14.00/12 ounces,"This is a “honey” coffee, meaning the skin was removed from the coffee fruit immediately after picking but the beans or seeds were dried with at least some of the fruit pulp or “honey” still adhering to them. This practice contrasts to the more conventional wet or washed method, wherein both skin and pulp are removed from the beans before drying. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world.  Visit www.templecoffee.com or call 916-454-1282 for more information.",August 2011,Medium,Temple Coffee and Tea,"Sacramento, California",https://www.coffeereview.com/review/costa-rica-santa-elena-espresso/
Sumatra Lintong,93,,9,9,8,9,,48/62,"Deep, complex, pungent. Sweetly tart grapefruit and enveloping fresh-turned, moist earth in aroma and cup, with grace notes ranging from flowers to cedar. Rich acidity, lightly syrupy mouthfeel. The grapefruit and earth notes carry deep into the finish. ",,"Lintong growing district, northern Sumatra, Indonesia.",$14.00/12 ounces,"Coffees from the northern part of the Indonesian island of Sumatra are admired for their complex earth, fruit and aromatic wood notes that result largely from unorthodox fruit removal and drying practices called “wet hulling.” This coffee is a particularly refined example of the type. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world.  Visit www.templecoffee.com or call 916-454-1282 for more information.",August 2011,Medium,Temple Coffee and Tea,"Sacramento, California",https://www.coffeereview.com/review/sumatra-lintong-2/
Guatemalan Puerta Verde,91,,7,9,8,9,,54/70,"Intense, crisp aromatics: blackberry, dark chocolate, caramel, orange in aroma and cup. Rich, sweetly tart acidity; silky mouthfeel. Flavor detail fades a bit in a straightforward finish.",,"Antigua valley, Guatemala",$16.95/16 ounces,"From the valley surrounding the colonial town of Guatemala Antigua, Guatemala's most celebrated coffee region, and produced from trees of the Bourbon and Caturra varieties. Finca Puerta Verde is a fourth-generation family farm owned and operated by the Alvarez family since the late 19th century. Barrington Coffee is an artisan roaster dedicated to elite coffees, fresh delivery and roasting that foregrounds the coffee and not the roast.  Visit www.barringtoncoffee.com or call 800-528-0998 for more information.",August 2011,Medium-Light,Barrington Coffee Roasting Co.,"Lee, Massachusetts",https://www.coffeereview.com/review/guatemalan-puerta-verde/
Espresso Classico,92,,8,9,8,9,8,49/71,"Evaluated as espresso. Delicate, floral- and caramel-toned aroma. In the small cup the caramel drops back and a pungent, lemony cedar dominates, complicated by continuing floral top notes. Lightly syrupy mouthfeel. Caramel returns with the flowers in the finish. Almost loses its way in two parts milk, but the caramel turns pleasantly chocolaty and the cedar contributes some authority. ",,Not disclosed.,$12.95/12 ounces,Apparently intended as a medium-roasted Northern Italian-style espresso blend. Paradise Roasters prides itself on roasting and shipping coffee only after orders are placed. Its metaphoric mission is to bring some paradisiacal warmth from the coffee-growing south to the cool environs of Minnesota.  Visit www.paradiseroasters.com or call 763-433-0626 for more information.,August 2011,Medium,Paradise Roasters,"Ramsey, Minnesota",https://www.coffeereview.com/review/espresso-classico-4/
Espresso Nuevo,95,,9,9,9,9,9,39/54,"Evaluated as espresso. Great depth and complex range in aroma and flavor: crisp walnut and dark chocolate, cedary anise, lemon and floral top notes. Heavy, satiny mouthfeel; long, rich, sweetly resonant finish. Surprisingly delicate in two parts milk, but ultimately a sweet but complex chocolate, toffee- and mint-toned, impresses. ",,Not disclosed.,$12.95/12 ounces,Paradise Roasters designed this medium-dark roasted espresso blend specifically for the American café market. Paradise Roasters prides itself on roasting and shipping coffee only after orders are placed. Its metaphoric mission is to bring some paradisiacal warmth from the coffee-growing south to the cool environs of Minnesota.  Visit www.paradiseroasters.com or call 763-433-0626 for more information.,August 2011,Medium-Dark,Paradise Roasters,"Ramsey, Minnesota",https://www.coffeereview.com/review/espresso-nuevo-3/
Colombia Cup of Excellence 2011 First Place Winner,93,,9,9,8,9,,57/68,"Bright, high-toned complexity: sweet, rose-like floral notes, milk chocolate, lemony cherry, a hint of pungent fir. Rich, zesty acidity; lightly syrupy mouthfeel. The finish is deep and long with echoes of flowers and chocolate. ",,"San Agustín growing region, Huila Department, southern Colombia",$64.95/10 ounces,"The Cup of Excellence is the most esteemed competition for green coffees from a given country of origin; this was the first prize winner from the Colombia 2011 competition chosen by a select group of national and international cuppers. From Arnulfo Leguizamo’s Primavera farm and Rainforest Alliance certified, meaning it was produced following sustainable ecological and socio-economic criteria developed by the Sustainable Agricultural Network, a coalition of independent, environment-focused non-governmental organizations. Paradise Roasters prides itself on roasting and shipping coffee only after orders are placed. Its metaphoric mission is to bring some paradisiacal warmth from the coffee-growing south to the cool environs of Minnesota. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",August 2011,Medium-Light,Paradise Roasters,"Ramsey, Minnesota",https://www.coffeereview.com/review/colombia-cup-of-excellence-2011-first-place-winner/
Hojas de Otono,92,,10,8,8,9,,43/49,"Deep, complex, roast-influenced profile with a wide but harmonious array of aromatic and flavor notes ranging from smoky roasted nut and aromatic wood to dark chocolate and a delicate but distinct lemony top note. Roast-rounded acidity; full, rather rugged mouthfeel. Very sweet, rich, flavor-saturated finish.",,"El Salvador; northern Sumatra, Indonesia.",$15.99/16 ounces,"This blend, Hojas de Otoño or “Autumn Leaves,” is Rainforest Alliance certified, meaning 100% of the blend components were produced following sustainable ecological and socio-economic criteria developed by the Sustainable Agricultural Network, a coalition of independent, environment-focused non-governmental organizations. It is composed of both wet-processed or “washed” and dried-in-the-fruit, or “natural” coffees from El Salvador, together with wet-hulled coffee from Sumatra. It is one of Caribou Coffee’s Roastmaster’s Reserve line of limited edition coffees and is available only for the month of September, 2011. Caribou Coffee is a large (second largest in the U.S. after Starbucks) retail roasting chain based in the upper Middle West whose rather irreverent motto ""Life is short. Stay awake for it"" belies a serious approach to coffee.  Visit www.cariboucoffee.com or call 888-227-4268 for more information.",August 2011,Medium-Dark,Caribou Coffee,"Minneapolis, Minnesota",https://www.coffeereview.com/review/hojas-de-otono/
Bard 2.2,92,,9,8,8,9,,47/69,"Deep-toned, complex. Rich apricot-like fruit dominates, with complications of cedar, cocoaish nut and night flowers. Quietly rounded acidity; lightly syrupy mouthfeel. Flavor notes carry into a long, balanced finish.  ",,Indonesia and Costa Rica.,$12.90/12 ounces,"Bard 2.2 is a blend of Indonesia and Costa Rica coffees. It is Rainforest Alliance certified, meaning the constituent coffees were produced following sustainable ecological and socio-economic criteria developed by the Sustainable Agricultural Network, a coalition of independent, environment-focused non-governmental organizations. Bard Coffee is a coffeehouse and roasting company based in Portland, Maine, focused on distinctive single-origin coffees. Bard Coffee is co-owned by Bob Garver, founder of Wicked Joe coffee and a frequent judge at barista competitions in the United States and internationally.  Visit www.bardcoffee.com or call 207-899-4788 for more information.",August 2011,Medium,Bard Coffee,"Portland, Maine",https://www.coffeereview.com/review/bard-2-2/
Sumatra Lake Tawar,94,,9,9,8,10,,49/56,"Pungently sweet and deep in both aroma and cup. Very complex: black cherry, grapefruit, fresh-turned earth, cedar, a hint of night flowers. Rich, grapefruit-toned acidity, lightly syrupy mouthfeel, sweetly tart finish saturated with fruit. ",,"Aceh Province, northern Sumatra, Indonesia.",$15.75/12 ounces,"Coffees from the northern part of the Indonesian island of Sumatra are admired for their complex earth, fruit and aromatic wood notes that result largely from unorthodox fruit removal and drying practices called “wet hulling.” This coffee is a particularly refined example of the type. Based in the San Diego area, Bird Rock Coffee Roasters is a retailer and wholesaler that focuses on organic and socially responsible coffees. Visit www.birdrockcoffee.com or call 858-551-1707 for more information.",August 2011,Medium,Bird Rock Coffee Roasters,"La Jolla, California",https://www.coffeereview.com/review/sumatra-lake-tawar-5/
Bard 2.2 (espresso),92,,8,8,9,9,8,47/69,"Evaluated as espresso. Rich, deep, balanced in the small cup. Cedar, orange, apricot, dark chocolate, a hint of flowers. Full, syrupy mouthfeel. Excellent presence in two parts milk, though surprisingly dry, displaying a citrusy dark chocolate that it’s tempting to call butterscotch.",,Indonesia and Costa Rica.,$12.90/12 ounces,"Bard 2.2 is a blend of Indonesia and Costa Rica coffees. It is Rainforest Alliance certified, meaning the constituent coffees were produced following sustainable ecological and socio-economic criteria developed by the Sustainable Agricultural Network, a coalition of independent, environment-focused non-governmental organizations. Bard Coffee is a coffeehouse and roasting company based in Portland, Maine, focused on distinctive single-origin coffees. Bard Coffee is co-owned by Bob Garver, founder of Wicked Joe coffee and a frequent judge at barista competitions in the United States and internationally.  Visit www.bardcoffee.com or call 207-899-4788 for more information.",August 2011,Medium,Bard Coffee,"Portland, Maine",https://www.coffeereview.com/review/bard-2-2-espresso/
El Salvador Finca Los Alpes El Banco Pacamara,90,,8,9,8,8,,63/81,"Complex, exhilarating aromatics: cedar, orange, flowers, with a rounding chocolaty sweetness in the cup. Tart, intense acidity; silky mouthfeel. The tart, acidy sensation dominates in the finish, cushioned by a continued chocolaty sweetness.  ",,Northwest El Salvador.,$13.95/12 ounces,"Farmer Luis Alonso Araujo produced this coffee from trees of the much-admired, bold-beaned Pacamara variety on a section of his farm Los Alpes called El Banco, one of the three original plantings of the now-classic Pacamara hybrid as it emerged from the laboratory of Angel Cabrera. Pacamara, a cross between the giant-beaned Maragogipe and Pacas, a selection of the heirloom Bourbon variety, has proven to produce exceptional coffee on many El Salvador farms. JBC Coffee Roasters (formerly Johnson Brothers Coffee Roasters) is a distinguished small-batch roasting company. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information..",August 2011,Light,JBC Coffee Roasters,"Madison, Wisconsin",https://www.coffeereview.com/review/el-salvador-finca-los-alpes-el-banco-pacamara/
El Salvador Finca Los Alpes Tierra Fertil Pacamara,92,,8,8,9,9,,58/76,"Crisply sweet and cocoa-toned with a deepening and complicating savory hint. Rich, balanced acidity; lightly syrupy, almost effervescent mouthfeel. The sweet/savory sensation extends into a long finish. ",,Northwest El Salvador.,$13.95/12 ounces,"Farmer Luis Alonso Araujo produced this coffee from trees of the much-admired, bold-beaned Pacamara variety on a section of his farm Los Alpes. Pacamara, a cross between the giant-beaned Maragogipe and Pacas, a selection of the heirloom Bourbon variety, has proven to produce exceptional coffee on many El Salvador farms. JBC Coffee Roasters (formerly Johnson Brothers Coffee Roasters) is a distinguished small-batch roasting company. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information..",August 2011,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin",https://www.coffeereview.com/review/el-salvador-finca-los-alpes-tierra-fertil-pacamara/
Dharma Blend Espresso,91,,8,8,8,9,8,53/68,"Evaluated as espresso. Sweet-toned and balanced in the small cup; heady floral notes anchored by pungent cedar and anise and a hint of nut-nuanced chocolate. Lightly syrupy mouthfeel; excellent flavor persistence in a slightly drying finish. In two parts milk pronounced presence with a complex, bittersweet chocolate dominating.",,Central and South America.,$13.50/12 ounces,"Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world.  Visit www.templecoffee.com or call 916-454-1282 for more information.",August 2011,Medium,Temple Coffee and Tea,"Sacramento, California",https://www.coffeereview.com/review/dharma-blend-espresso/
Guatemala Finca La Candelaria,92,,9,9,8,8,,59/75,"Bright and sweetly tart with complex, refreshing temperate fruit notes: cherry, green apple, orange. Smooth, silky mouthfeel. The finish is very rich, sweet, and saturated with fruit notes, particularly apple.",,"Alotenango, Guatemala.",$12.95/12 ounces,"Finca Candelaria is owned and managed by Luis Pedro Zelaya Sr. who, over the past several years has taken a once run-down farm and revitalized it. JBC Coffee Roasters (formerly Johnson Brothers Coffee Roasters) is a distinguished small-batch roasting company. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information..",August 2011,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin",https://www.coffeereview.com/review/guatemala-finca-la-candelaria/
El Salvador Los Alpes El Banco Pacamara Espresso,92,,7,9,9,9,8,47/55,"Evaluated as espresso. Richly sweet, custardy milk chocolate notes dominate aroma and flavor, saved from simplicity by a green apple tartness and a hint of cedary pungency. The finish in the small cup is surprisingly tight and drying, but the roundly sweet, mousse-like chocolate notes and the hint of tart fruit make an impressive return in two parts milk. ",,Northwestern El Salvador,$13.95/12 ounces,"Farmer Luis Alonso Araujo produced this coffee from trees of the much-admired, bold-beaned Pacamara variety on a section of his farm Los Alpes called El Banco, one of the three original plantings of the now-classic Pacamara variety as it emerged from the laboratory of Angel Cabrera. Pacamara, a cross between the giant-beaned Maragogipe and Pacas, a selection of the heirloom Bourbon variety, has proven to produce exceptional coffee on many Central American farms. JBC Coffee Roasters (formerly Johnson Brothers Coffee Roasters) is a distinguished small-batch roasting company. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information..",August 2011,Medium,JBC Coffee Roasters,"Madison, Wisconsin",https://www.coffeereview.com/review/el-salvador-los-alpes-el-banco-pacamara-espresso/
